';
update han_levels  set total='20' where hanja='襭';';
';
한자	대표훈음	부수';
你	너 니	人';
柅	굄목 니	木';
怩	부끄러워할 니	心';
溺	빠질 닉	水';
匿	숨길 닉	匸';
昵	친할 닐 | 아비사당 녜	日';
多	많을 다	夕';
茶	차 다 | 차 차	艸';
爹	아비 다	父';
短	짧을 단(:)	矢';
團	둥글 단	囗';
壇	단 단	土';
斷	끊을 단:	斤';
單	홑 단	口';
檀	박달나무 단	木';
端	끝 단	立';
段	층계 단	殳';
旦	아침 단	日';
但	다만 단:	人';
丹	붉을 단	丶';
鍛	쇠불릴 단	金';
湍	여울 단	水';
蛋	새알 단:	虫';
簞	소쿠리 단	竹';
緞	비단 단	糸';
亶	진실로 단	亠';
彖	판단할 단	彐';
袒	옷벗어멜 단	衣';
鄲	한단 단	邑';
漙	이슬많을 단	水';
慱	근심할 단	心';
襢	웃통벗을 단 | 흰베 전	衣';
癉	앓을 단	疒';
煅	쇠불릴 단	火';
達	통달할 달	辵';
撻	때릴 달	手';
疸	황달 달	疒';
獺	수달 달	犬';
澾	미끄러울 달	水';
怛	슬플 달	心';
闥	궐문 달	門';
談	말씀 담	言';
擔	멜 담	手';
淡	맑을 담	水';
潭	못[池] 담	水';
膽	쓸개 담:	肉';
憺	참담할 담	心';
曇	흐릴 담	日';
澹	맑을 담	水';
痰	가래 담:	疒';
譚	클/말씀 담	言';
錟	창 담	金';
坍	무너질 담	土';
啖	씹을 담	口';
覃	깊을 담	襾';
蕁	지모 담 | 쐐기풀 심	艸';
聃	귓바퀴없을 담	耳';
湛	즐길 담 | 잠길 잠	水';
惔	속탈 담	心';
萏	연봉오리 담	艸';
餤	먹을 담	食';
驔	정강이흰말 담	馬';
髧	머리늘어질 담	髟';
耼	귓바퀴없을 담	耳';
菼	달 담:	艸';
窞	구덩이 담	穴';
黮	검을 담: | 오디 심:	黑';
答	대답 답	竹';
踏	밟을 답	足';
畓	논 답	田';
遝	뒤섞일 답	辵';
沓	겹칠 답	水';
堂	집 당	土';
當	마땅 당	田';
黨	무리 당	黑';
糖	엿 당	米';
唐	당나라/당황할 당(:)	口';
塘	못[池] 당	土';
撞	칠 당	手';
棠	아가위 당	木';
螳	버마재비(사마귀) 당	虫';
戇	어리석을 당	心';
幢	기 당	巾';
儻	고상할/구차할 당	人';
鏜	종고소리 당	金';
鐺	목쇠사슬 당 | 노구 쟁	金';
螗	씽씽매미 당	虫';
倘	만일 당 | 노닐 상	人';
大	큰 대(:)	大';
代	대신할 대:	人';
對	대할 대:	寸';
待	기다릴 대:	彳';
帶	띠 대(:)	巾';
隊	무리 대	阜';
臺	대 대	至';
貸	빌릴/뀔 대:	貝';
戴	일[首荷] 대:	戈';
垈	집터 대	土';
擡	들[擧] 대	手';
袋	자루 대	衣';
黛	눈썹그릴 대	黑';
岱	산이름 대	山';
坮	돈대 대	土';
玳	대모(玳瑁) 대	玉';
祋	창 대	示';
譈	원망할 대:	言';
懟	원망할 대:	心';
憝	원망할/악할 대:	心';
德	큰 덕	彳';
悳	큰[德] 덕	心';
道	길 도:	辵';
圖	그림 도	囗';
度	법도 도(:) | 헤아릴 탁	广';
到	이를 도:	刀';
都	도읍 도	邑';
島	섬 도	山';
導	인도할 도:	寸';
徒	무리 도	彳';
盜	도둑 도(:)	皿';
逃	도망할 도	辵';
渡	건널 도	水';
桃	복숭아 도	木';
倒	넘어질 도:	人';
陶	질그릇 도	阜';
途	길[行中] 도:	辵';
刀	칼 도	刀';
跳	뛸 도	足';
挑	돋울 도	手';
塗	칠할 도	土';
稻	벼 도	禾';
悼	슬퍼할 도	心';
燾	비칠 도	火';
搗	찧을 도	手';
鍍	도금할 도:	金';
蹈	밟을 도	足';
賭	내기 도	貝';
萄	포도 도	艸';
禱	빌 도	示';
睹	볼 도	目';
濤	물결 도	水';
屠	죽일 도	尸';
淘	쌀일 도	水';
掉	흔들 도	手';
堵	담 도	土';
滔	물넘칠 도	水';
嶋	섬 도	山';
覩	볼 도	見';
韜	감출 도	韋';
櫂	상앗대 도	木';
棹	노 도 | 책상 탁	木';
翿	깃일산 도	羽';
咷	울 도	口';
闍	성문 도	門';
稌	찰벼 도	禾';
檮	등걸 도 | 산대 주	木';
擣	찧을 도	手';
慆	기뻐할 도	心';
鼗	작은북 도	鼓';
叨	탐할 도	口';
綯	노꼴 도	糸';
荼	씀바귀 도	艸';
謟	의심할 도	言';
鞉	소고 도	革';
瘏	앓을 도	疒';
忉	근심할 도	心';
讀	읽을 독 | 구절 두	言';
獨	홀로 독	犬';
毒	독 독	毋';
督	감독할 독	目';
篤	도타울 독	竹';
禿	대머리 독	禾';
瀆	도랑/더럽힐 독	水';
犢	송아지 독	牛';
牘	편지 독	片';
纛	둑[儀仗旗] 독	糸';
匵	손궤 독	匚';
櫝	궤 독	木';
黷	더러울 독	黑';
敦	도타울 돈	攴';
豚	돼지 돈	豕';
惇	도타울 돈	心';
燉	불빛 돈	火';
頓	조아릴 돈:	頁';
沌	엉길 돈	水';
暾	해돋을 돈	日';
遯	도망할 돈 | 도망할 둔	辵';
旽	밝을 돈	日';
墩	돈대 돈	土';
焞	어스름할 돈 | 성할 퇴	火';
突	갑자기 돌	穴';
乭	이름 돌	乙';
東	동녘 동	木';
動	움직일 동:	力';
同	한가지 동	口';
洞	골 동: | 밝을 통:	水';
冬	겨울 동(:)	冫';
童	아이 동(:)	立';
銅	구리 동	金';
凍	얼 동:	冫';
棟	마룻대 동	木';
桐	오동나무 동	木';
董	바를[正] 동:	艸';
疼	아플 동:	疒';
瞳	눈동자 동:	目';
胴	큰창자/몸통 동	肉';
憧	동경할 동:	心';
仝	한가지[同] 동	人';
潼	물이름 동	水';
僮	아이종 동:	人';
侗	지각없을 동 | 키멀쑥할 통	人';
烔	뜨거울 동	火';
罿	새그물 동	网';
彤	붉은칠할 동	彡';
蝀	무지개 동:	虫';
頭	머리 두	頁';
斗	말 두	斗';
豆	콩 두	豆';
杜	막을 두	木';
兜	투구 두 | 도솔천(兜率天) 도	儿';
痘	역질 두	疒';
竇	구멍 두	穴';
荳	팥 두	艸';
逗	머무를 두	辵';
枓	주두 두	木';
斁	무너질 두 | 싫어할 역	攴';
屯	진칠 둔	屮';
鈍	둔할 둔:	金';
臀	볼기 둔	肉';
遁	숨을 둔:	辵';
芚	싹돋을 둔	艸';
得	얻을 득	彳';
登	오를 등	癶';
等	무리 등:	竹';
燈	등 등	火';
騰	오를 등	馬';
藤	등나무 등	艸';
謄	베낄 등	言';
鄧	나라이름 등:	邑';
橙	귤/걸상 등	木';
嶝	고개 등	山';
螣	등사 등	虫';
滕	물솟아오를 등	水';
縢	노/꿰맬 등	糸';
羅	벌릴 라	网';
裸	벗을 라:	衣';
邏	순라 라	辵';
螺	소라 라	虫';
懶	게으를 라:	心';
癩	문둥이 라:	疒';
喇	나팔 라	口';
蘿	담쟁이 라	艸';
臝	벌거벗을 라	肉';
蠃	나나니벌 라	虫';
樂	즐길 락 | 노래 악 | 좋아할 요	木';
落	떨어질 락	艸';
絡	이을/얽을 락	糸';
洛	물이름 락	水';
駱	낙타 락	馬';
烙	지질 락	火';
酪	쇠젖 락	酉';
珞	구슬 락	玉';
雒	올빼미/표가라 락	隹';
亂	어지러울 란:	乙';
卵	알 란:	卩';
欄	난간 란	木';
蘭	난초 란	艸';
爛	빛날 란:	火';
瀾	물결 란	水';
鸞	난새 란	鳥';
欒	단란할 란	木';
闌	가로막을 란	門';
瓓	옥빛 란	玉';
剌	발랄할 랄	刀';
辣	매울 랄	辛';
捋	뽑을/문지를 랄	手';
覽	볼 람	見';
濫	넘칠 람:	水';
藍	쪽 람	艸';
籃	대바구니 람	竹';
嵐	아지랑이 람	山';
襤	남루할 람	衣';
擥	잡을[攬] 람:	手';
攬	잡을 람:	手';
纜	닻줄 람	糸';
欖	감람나무 람	木';
拉	끌 랍	手';
蠟	밀 랍	虫';
臘	섣달 랍	肉';
朗	밝을 랑:	月';
浪	물결 랑(:)	水';
廊	사랑채/행랑 랑	广';
郞	사내 랑	邑';
狼	이리 랑:	犬';
螂	사마귀 랑	虫';
琅	옥소리 랑	玉';
瑯	법랑 랑	玉';
稂	가라지/강아지풀 랑	禾';
來	올 래(:)	人';
萊	명아주 래	艸';
崍	산이름 래	山';
徠	올 래	彳';
勑	위로할 래 | 조서 칙	力';
倈	올/위로할 래	人';
騋	큰말 래	馬';
冷	찰 랭:	冫';
略	간략할/약할 략	田';
掠	노략질할 략	手';
良	어질 량	艮';
量	헤아릴 량	里';
兩	두 량:	入';
糧	양식 량	米';
涼	서늘할 량	水';
梁	들보/돌다리 량	木';
諒	살펴알/믿을 량	言';
輛	수레 량:	車';
樑	들보 량	木';
亮	밝을 량	亠';
倆	재주 량	人';
粱	기장 량	米';
粮	양식 량	米';
凉	서늘할[涼] 량	冫';
旅	나그네 려	方';
麗	고울 려	鹿';
慮	생각할 려:	心';
勵	힘쓸 려:	力';
廬	농막(農幕)집 려	广';
礪	숫돌 려:	石';
呂	성(姓)/법칙 려:	口';
驪	검은말 려 | 검은말 리	馬';
侶	짝 려:	人';
戾	어그러질 려:	戶';
濾	거를 려:	水';
閭	마을 려	門';
黎	검을 려	黍';
藜	명아주 려	艸';
驢	나귀 려	馬';
儷	짝 려	人';
櫚	종려나무 려	木';
蠣	굴 려:	虫';
犁	쟁기 려 | 얼룩소 리	牛';
膂	등골뼈 려	肉';
厲	엄할/숫돌 려:	厂';
蠡	좀먹을 려 | 소라 라	虫';
藘	꼭두서니 려	艸';
力	힘 력	力';
歷	지날 력	止';
曆	책력 력	日';
瀝	스밀 력	水';
礫	조약돌 력	石';
轢	차에치일/삐걱거릴 력	車';
靂	벼락 력	雨';
櫟	떡갈나무 력	木';
鬲	솥 력 | 가로막을 격	鬲';
酈	땅이름 력 | 땅이름 리	邑';
練	익힐 련:	糸';
連	이을 련	辵';
鍊	쇠불릴/단련할 련:	金';
蓮	연꽃 련	艸';
聯	연이을 련	耳';
戀	그리워할/그릴 련:	心';
憐	불쌍히여길 련	心';
煉	달굴 련	火';
漣	잔물결 련	水';
輦	가마 련	車';
攣	손발굽을 련	手';
璉	호련 련	玉';
孌	아름다울 련	女';
列	벌릴 렬	刀';
烈	매울 렬	火';
裂	찢어질 렬	衣';
劣	못할 렬	力';
冽	찰 렬	冫';
洌	맑을 렬	水';
栵	산밤나무 렬 | 늘어설 례	木';
廉	청렴할 렴	广';
濂	물이름 렴	水';
斂	거둘 렴:	攴';
殮	염(殮)할 렴:	歹';
簾	발 렴	竹';
蘞	거지덩굴 렴	艸';
獵	사냥 렵	犬';
領	거느릴 령	頁';
令	하여금 령(:)	人';
靈	신령 령	雨';
嶺	고개 령	山';
零	떨어질/영[數字] 령	雨';
玲	옥소리 령	玉';
齡	나이 령	齒';
囹	옥(獄) 령	囗';
逞	쾌할 령	辵';
鈴	방울 령	金';
聆	들을 령	耳';
伶	악공/영리할 령	人';
怜	영리할 령	心';
羚	영양 령	羊';
岺	산깊을 령	山';
笭	다래끼 령	竹';
翎	깃 령	羽';
蛉	고추잠자리 령	虫';
苓	복령(茯苓) 령	艸';
姈	여자영리할 령	女';
昤	햇빛 령	日';
例	법식 례:	人';
禮	예도 례:	示';
隷	종 례:	隶';
醴	단술[甘酒] 례:	酉';
澧	물이름 례	水';
鱧	가물치 례	魚';
老	늙을 로:	老';
路	길 로:	足';
勞	일할 로	力';
露	이슬 로(:)	雨';
爐	화로 로	火';
盧	성(姓) 로	皿';
鷺	해오라기/백로 로	鳥';
蘆	갈대 로	艸';
魯	노나라/노둔할 로	魚';
虜	사로잡을 로	虍';
擄	노략질할 로	手';
撈	건질 로	手';
瀘	물이름 로	水';
潞	물이름 로	水';
櫓	노/방패 로	木';
輅	수레 로	車';
鹵	개펄 로	鹵';
纑	베올 로	糸';
簵	대이름 로	竹';
壚	검은흙 로	土';
綠	푸를 록	糸';
錄	기록할 록	金';
祿	녹 록	示';
鹿	사슴 록	鹿';
麓	산기슭 록	鹿';
碌	푸른돌 록	石';
菉	조개풀 록	艸';
彔	새길 록	彐';
論	논할 론	言';
弄	희롱할 롱:	廾';
籠	대바구니 롱(:)	竹';
壟	밭두둑 롱:	土';
聾	귀먹을 롱	耳';
瓏	옥소리 롱	玉';
瀧	젖을 롱	水';
朧	몽롱할 롱	月';
隴	언덕 롱:	阜';
賴	의뢰할 뢰:	貝';
雷	우레 뢰	雨';
賂	뇌물 뢰	貝';
磊	돌무더기 뢰	石';
牢	우리[畜舍] 뢰	牛';
儡	꼭두각시 뢰:	人';
瀨	여울 뢰	水';
賚	줄[賜] 뢰	貝';
耒	따비 뢰:	耒';
罍	술잔 뢰	缶';
料	헤아릴 료(:)	斗';
僚	동료 료	人';
了	마칠 료:	亅';
療	병고칠 료	疒';
遼	멀 료	辵';
燎	횃불 료	火';
瞭	밝을 료	目';
聊	애오라지 료	耳';
寥	쓸쓸할 료	宀';
寮	동관(同官) 료	宀';
蓼	여뀌 료:	艸';
廖	공허할 료	广';
敹	가릴 료	攴';
繚	동일 료	糸';
潦	장마 료: | 장마 로:	水';
龍	용 룡	龍';
漏	샐 루:	水';
樓	다락 루	木';
累	여러/자주 루:	糸';
淚	눈물 루:	水';
屢	여러 루:	尸';
壘	보루 루	土';
陋	더러울 루:	阜';
褸	남루할 루	衣';
蔞	물쑥 루	艸';
瘻	부스럼 루	疒';
縷	실오리 루:	糸';
鏤	새길 루	金';
婁	끌 루	女';
摟	안을 루	手';
流	흐를 류	水';
類	무리 류(:)	頁';
留	머무를 류	田';
柳	버들 류(:)	木';
硫	유황 류	石';
謬	그르칠 류	言';
劉	죽일/묘금도(卯金刂) 류	刀';
琉	유리 류	玉';
溜	처마물 류	水';
瘤	혹 류:	疒';
旒	깃발 류	方';
榴	석류 류	木';
瀏	맑을 류	水';
瑠	유리 류	玉';
纍	가둘 류 | 가둘 루	糸';
懰	근심할/아름다울 류	心';
罶	통발 류:	网';
藟	덩굴풀 류	艸';
虆	덩굴 류	艸';
駵	월따말 류	馬';
六	여섯 륙	八';
陸	뭍 륙	阜';
戮	죽일 륙	戈';
僇	욕할 륙	人';
穋	올벼 륙	禾';
輪	바퀴 륜	車';
倫	인륜 륜	人';
崙	산이름 륜	山';
淪	빠질 륜	水';
綸	벼리 륜	糸';
侖	산이름/차례 륜	人';
律	법칙 률	彳';
率	비율 률 | 거느릴 솔	玄';
栗	밤 률	木';
慄	떨릴 률	心';
隆	높을 륭	阜';
肋	갈빗대 륵	肉';
勒	굴레 륵	力';
凜	찰 름	冫';
懍	두려워할 름	心';
廩	쌀곳간 름	广';
陵	언덕 릉	阜';
楞	네모질[四角] 릉	木';
稜	모날 릉	禾';
綾	비단 릉	糸';
凌	업신여길 릉	冫';
菱	마름 릉	艸';
里	마을 리:	里';
利	이할 리:	刀';
理	다스릴 리:	玉';
李	오얏/성(姓) 리:	木';
離	떠날 리:	隹';
吏	벼슬아치/관리 리:	口';
履	밟을 리:	尸';
裏	속 리:	衣';
梨	배 리	木';
悧	영리할 리	心';
籬	울타리 리	竹';
釐	다스릴 리	里';
俚	속될 리:	人';
裡	속 리:	衣';
痢	이질 리:	疒';
罹	걸릴 리	网';
狸	삵 리	犬';
羸	야윌 리	羊';
莉	말리 리	艸';
厘	다스릴[釐] 리 | 가게[廛] 전:	厂';
唎	소리 리	口';
鯉	잉어 리	魚';
浬	해리 리	水';
璃	유리 리	玉';
纚	맬 리 | 머리싸개 사	糸';
莅	임할 리	艸';
詈	꾸짖을 리:	言';
俐	영리할 리	人';
縭	신꾸밀 리	糸';
离	도깨비/산신 리	禸';
涖	임할 리	水';
梩	삼태기 리	木';
隣	이웃 린	阜';
麟	기린 린	鹿';
吝	아낄 린	口';
鱗	비늘 린	魚';
燐	도깨비불 린	火';
躪	짓밟을 린	足';
璘	옥빛 린	玉';
藺	골풀 린	艸';
潾	맑을 린	水';
粼	물맑을 린	米';
鄰	이웃 린	邑';
林	수풀 림	木';
臨	임할 림	臣';
淋	임질 림	水';
霖	장마 림	雨';
琳	아름다운옥 림	玉';
立	설 립	立';
笠	삿갓 립	竹';
粒	낟알 립	米';
砬	돌소리 립	石';
苙	구릿대/짐승우리 립	艸';
馬	말 마:	馬';
磨	갈 마	石';
麻	삼 마(:)	麻';
摩	문지를 마	手';
痲	저릴 마	疒';
魔	마귀 마	鬼';
碼	마노 마	石';
瑪	마노 마	玉';
禡	마제(禡祭) 마	示';
漠	넓을 막	水';
莫	없을 막	艸';
幕	장막 막	巾';
膜	꺼풀/막 막	肉';
寞	고요할 막	宀';
邈	멀 막	辵';
藐	멀 막 | 작을 묘	艸';
瘼	병들 막	疒';
萬	일만 만:	艸';
滿	찰 만(:)	水';
晩	늦을 만:	日';
慢	거만할 만:	心';
漫	흩어질 만:	水';
娩	낳을 만:	女';
灣	물굽이 만	水';
蠻	오랑캐 만	虫';
輓	끌/애도할 만:	車';
饅	만두 만	食';
蔓	덩굴 만	艸';
鰻	뱀장어 만	魚';
卍	만(卍) 만:	十';
彎	굽을 만	弓';
挽	당길 만:	手';
瞞	속일 만	目';
万	일만[萬] 만:	一';
巒	멧부리 만	山';
曼	길[長] 만	曰';
鏋	금 만	金';
墁	바를 만	土';
末	끝 말	木';
靺	말갈(靺鞨) 말	革';
抹	지울 말	手';
沫	물거품 말	水';
襪	버선 말	衣';
唜	끝 말	口';
茉	말리 말	艸';
秣	말먹이 말	禾';
望	바랄 망:	月';
亡	망할 망	亠';
妄	망령될 망:	女';
忘	잊을 망	心';
茫	아득할 망	艸';
忙	바쁠 망	心';
罔	없을 망	网';
網	그물 망	糸';
芒	까끄라기 망	艸';
惘	멍할 망	心';
莽	풀 망	艸';
邙	북망산 망	邑';
輞	바퀴테 망	車';
蘉	힘쓸 망	艸';
每	매양 매(:)	毋';
買	살 매:	貝';
賣	팔 매(:)	貝';
妹	누이 매	女';
媒	중매 매	女';
梅	매화 매	木';
埋	묻을 매	土';
魅	매혹할 매	鬼';
枚	낱 매	木';
煤	그을음 매	火';
罵	꾸짖을 매:	网';
邁	갈[行] 매	辵';
呆	어리석을 매	口';
昧	어두울 매	日';
寐	잘 매:	宀';
脢	등심 매	肉';
沬	희미할 매 | 낯씻을 회	水';
韎	가죽 매	韋';
霾	흙비 매	雨';
鋂	사슬고리 매	金';
痗	병들 매	疒';
浼	더럽힐 매 | 펀히흐를 면	水';
苺	딸기 매	艸';
勱	힘쓸 매	力';
脈	줄기 맥	肉';
麥	보리 맥	麥';
貊	맥국(貊國) 맥	豸';
驀	뛰어넘을 맥	馬';
陌	밭두둑길 맥	阜';
貉	오랑캐 맥	豸';
霢	가랑비 맥	雨';
孟	맏 맹(:)	子';
猛	사나울 맹:	犬';
盲	소경/눈멀 맹	目';
盟	맹세 맹	皿';
萌	움[芽] 맹	艸';
氓	백성 맹	氏';
覓	찾을 멱	見';
冪	덮을 멱	冖';
面	낯 면:	面';
勉	힘쓸 면:	力';
眠	잘 면	目';
綿	솜 면	糸';
免	면할 면:	儿';
俛	힘쓸/구푸릴 면:	人';
沔	물이름/빠질 면:	水';
冕	면류관 면:	冂';
棉	목화 면	木';
眄	곁눈질할 면:	目';
緬	멀 면(:)	糸';
麪	국수 면	麥';
麵	국수[麪] 면	麥';
湎	빠질 면:	水';
滅	꺼질/멸할 멸	水';
蔑	업신여길 멸	艸';
篾	대껍질 멸	竹';
幭	덮개 멸	巾';
名	이름 명	口';
命	목숨 명:	口';
明	밝을 명	日';
鳴	울 명	鳥';
銘	새길 명	金';
冥	어두울 명	冖';
溟	바다 명	水';
皿	그릇 명:	皿';
螟	멸구 명	虫';
暝	저물 명	日';
酩	술취할 명:	酉';
椧	홈통 명	木';
瞑	눈감을 명	目';
蓂	명협 명	艸';
茗	차싹 명	艸';
袂	소매 몌	衣';
母	어미 모:	毋';
毛	터럭 모	毛';
模	본뜰 모	木';
謀	꾀 모	言';
貌	모양 모	豸';
慕	그릴 모:	心';
某	아무 모:	木';
暮	저물 모:	日';
募	모을/뽑을 모	力';
冒	무릅쓸 모	冂';
侮	업신여길 모(:)	人';
矛	창 모	矛';
帽	모자 모	巾';
茅	띠[草名] 모	艸';
謨	꾀 모	言';
牟	성(姓)/보리[大麥] 모	牛';
摸	더듬을 모	手';
牡	수컷 모	牛';
糢	모호할 모	米';
耗	소모할 모	耒';
芼	나물 모	艸';
眸	눈동자 모	目';
瑁	대모 모	玉';
姆	여스승 모	女';
摹	모뜰 모	手';
麰	보리 모	麥';
眊	눈흐릴/늙을 모	目';
旄	털기(旗) 모	方';
耄	늙을 모	老';
髦	다박머리 모	髟';
蟊	해충 모	虫';
木	나무 목	木';
目	눈 목	目';
牧	칠[養] 목	牛';
睦	화목할 목	目';
沐	머리감을 목	水';
穆	화목할 목	禾';
鶩	집오리 목	鳥';
霂	가랑비 목	雨';
楘	수레장식 목	木';
沒	빠질 몰	水';
歿	죽을 몰	歹';
蒙	어두울 몽	艸';
夢	꿈 몽	夕';
朦	몽롱할 몽	月';
饛	밥수북히담을 몽	食';
幪	덮을 몽	巾';
濛	이슬비 몽	水';
矇	소경 몽	目';
墓	무덤 묘:	土';
妙	묘할 묘:	女';
卯	토끼 묘:	卩';
廟	사당 묘:	广';
苗	모 묘:	艸';
昴	별이름 묘:	日';
猫	고양이 묘:	犬';
描	그릴 묘:	手';
杳	아득할 묘	木';
渺	아득할/물질펀할 묘:	水';
竗	묘할[妙] 묘:	立';
錨	닻 묘	金';
眇	애꾸 묘:	目';
貓	고양이 묘:	豸';
茆	띠 묘 | 갯버들 류	艸';
無	없을 무	火';
務	힘쓸 무:	力';
武	호반 무:	止';
舞	춤출 무:	舛';
貿	무역할 무:	貝';
茂	무성할 무:	艸';
戊	천간 무:	戈';
霧	안개 무:	雨';
巫	무당 무:	工';
蕪	거칠 무	艸';
畝	이랑 무: | 이랑 묘:	田';
毋	말[勿] 무	毋';
撫	어루만질 무(:)	手';
拇	엄지손가락 무:	手';
憮	어루만질 무:	心';
誣	속일 무:	言';
楙	모과나무 무	木';
珷	옥돌 무	玉';
繆	얽을 무 | 어그러질 류	糸';
鵡	앵무새 무:	鳥';
懋	힘쓸 무:	心';
无	없을[無] 무	无';
儛	춤출 무:	人';
廡	행랑 무	广';
膴	두터울 무	肉';
髳	다박머리 무	髟';
墨	먹 묵	土';
默	잠잠할 묵	黑';
纆	노 묵	糸';
門	문 문	門';
文	글월 문	文';
問	물을 문:	口';
聞	들을 문(:)	耳';
紋	무늬 문	糸';
紊	어지러울/문란할 문	糸';
汶	물이름 문	水';
蚊	모기 문	虫';
吻	입술 문	口';
刎	목자를 문	刀';
們	무리 문	人';
雯	구름무늬 문	雨';
捫	어루만질 문	手';
炆	따뜻할 문	火';
璊	붉은옥 문	玉';
穈	붉은기장 문 | 검은기장 미	禾';
物	물건 물	牛';
勿	말[禁] 물	勹';
沕	아득할 물	水';
美	아름다울 미(:)	羊';
米	쌀 미	米';
未	아닐 미(:)	木';
味	맛 미:	口';
微	작을 미	彳';
尾	꼬리 미:	尸';
迷	미혹할 미(:)	辵';
眉	눈썹 미	目';
彌	미륵/오랠 미	弓';
靡	쓰러질 미	非';
薇	장미 미	艸';
媚	아첨할/예쁠 미	女';
湄	물가 미	水';
謎	수수께끼 미	言';
渼	물놀이 미	水';
楣	인중방 미	木';
黴	기미낄 미	黑';
梶	나무끝 미	木';
嵋	산이름 미	山';
麋	고라니 미	鹿';
亹	힘쓸 미	亠';
弭	활고자 미:	弓';
敉	어루만질 미	攴';
糜	죽 미	米';
郿	땅이름 미	邑';
瀰	물가득할 미	水';
民	백성 민	氏';
敏	민첩할 민	攴';
憫	민망할 민	心';
旻	하늘 민	日';
閔	성(姓) 민	門';
玟	아름다운돌 민	玉';
珉	옥돌 민	玉';
旼	화할 민	日';
悶	답답할 민	心';
泯	빠질 민	水';
岷	산이름 민	山';
愍	슬퍼할 민	心';
緡	돈꿰미 민	糸';
慜	총명할 민	心';
敃	힘쓸 민	攴';
潣	물졸졸흐를 민	水';
忞	힘쓸 민	心';
痻	병들 민	疒';
暋	강할/번민할 민	日';
黽	힘쓸 민 | 맹꽁이 맹 | 땅이름 면	黽';
密	빽빽할 밀	宀';
蜜	꿀 밀	虫';
謐	고요할 밀	言';
朴	성(姓) 박	木';
博	넓을 박	十';
拍	칠 박	手';
迫	핍박할 박	辵';
薄	엷을 박	艸';
泊	머무를/배댈 박	水';
舶	배 박	舟';
膊	팔뚝 박	肉';
搏	두드릴 박	手';
縛	얽을 박	糸';
箔	발[簾] 박	竹';
撲	칠[擊] 박	手';
剝	벗길 박	刀';
珀	호박(琥珀) 박	玉';
樸	순박할 박	木';
粕	지게미 박	米';
駁	논박할 박	馬';
璞	옥덩어리 박	玉';
雹	우박 박	雨';
亳	땅이름 박	亠';
鎛	호미 박	金';
襮	수놓은깃 박	衣';
鉑	금박 박	金';
半	반(半) 반:	十';
反	돌이킬/돌아올 반:	又';
班	나눌 반	玉';
般	가지/일반 반	舟';
盤	소반 반	皿';
飯	밥 반	食';
伴	짝 반:	人';
叛	배반할 반:	又';
返	돌이킬 반:	辵';
搬	옮길 반	手';
潘	성(姓) 반	水';
磻	반계(磻溪) 반 | 반계 번	石';
槃	쟁반 반	木';
斑	아롱질 반	文';
礬	백반 반	石';
絆	얽어맬 반	糸';
畔	밭두둑 반	田';
蟠	서릴 반	虫';
頒	나눌 반	頁';
攀	더위잡을 반	手';
拌	버릴 반	手';
瘢	흉터 반	疒';
泮	얼음풀릴/학교 반	水';
盼	눈예쁠 반	目';
磐	너럭바위 반	石';
鞶	가죽띠 반	革';
胖	살찔 반	肉';
發	필 발	癶';
髮	터럭 발	髟';
拔	뽑을 발	手';
渤	바다이름 발	水';
鉢	바리때 발	金';
跋	밟을 발	足';
勃	노할 발	力';
魃	가물 발	鬼';
醱	술괼 발	酉';
潑	물뿌릴 발	水';
撥	다스릴 발	手';
茇	풀뿌리 발	艸';
浡	우쩍일어날 발	水';
軷	길제사 발	車';
方	모[棱] 방	方';
放	놓을 방(:)	攴';
防	막을 방	阜';
房	방 방	戶';
訪	찾을 방:	言';
妨	방해할 방	女';
芳	꽃다울 방	艸';
倣	본뜰 방	人';
傍	곁 방:	人';
邦	나라 방	邑';
紡	길쌈 방	糸';
旁	곁 방:	方';
龐	높은집 방	龍';
彷	헤맬 방(:)	彳';
尨	삽살개 방	尢';
謗	헐뜯을 방:	言';
坊	동네 방	土';
膀	오줌통 방	肉';
幇	도울 방	巾';
昉	밝을 방	日';
肪	기름 방	肉';
榜	방(榜)붙일 방:	木';
枋	다목 방	木';
蒡	우엉 방	艸';
滂	비퍼부을 방	水';
磅	돌떨어지는소리 방	石';
舫	쌍배 방	舟';
蚌	조개 방	虫';
厖	클 방	厂';
雱	눈내릴 방	雨';
逄	막을 방	辵';
魴	방어 방	魚';
幫	도울 방	巾';
倍	곱 배(:)	人';
拜	절 배:	手';
背	등 배:	肉';
配	나눌/짝 배:	酉';
輩	무리 배:	車';
培	북돋울 배:	土';
排	밀칠 배	手';
杯	잔 배	木';
賠	물어줄 배:	貝';
俳	배우 배	人';
裵	성(姓) 배	衣';
陪	모실 배:	阜';
胚	아기밸 배	肉';
湃	물결칠 배	水';
徘	어정거릴 배	彳';
裴	성[裵] 배	衣';
盃	잔[杯] 배	皿';
褙	배자 배	衣';
焙	불쬘 배	火';
桮	술잔 배	木';
白	흰 백	白';
百	일백 백	白';
伯	맏 백	人';
柏	측백 백	木';
魄	넋 백	鬼';
帛	비단 백	巾';
栢	측백[柏] 백	木';
佰	우두머리 백	人';
番	차례 번	田';
繁	번성할 번	糸';
飜	번역할 번	飛';
煩	번거로울 번	火';
藩	울타리 번	艸';
蕃	불을 번	艸';
樊	울 번	木';
燔	구울 번	火';
幡	기 번	巾';
翻	날/뒤칠 번	羽';
